COMMON NAME,SCIENTIFIC NAME,STATUS IN ILLINOIS,LENGTH,WEIGHT,WINGSPAN,HABITAT,FOOD,CLUTCH SIZE,BEHAVIOR
Bald Eagle,Haliaeetus leucocephalus,Stable,27.9-37.8 in,105.8-222.2 oz,80.3 in,Forests near bodies of water,Fish and small land animals,1-3 eggs,Soaring or perched in tall trees
Black-bellied Plover,Pluvialis squatarola,Migratory,11.0-11.4 in,6.0-9.7 oz,23.2-23.6 in,"Lowlands and wet, marshy areas",Insects and marine invertebrates,3-4 eggs,Foraging on ground
Black-crowned Night-Heron,Nycticorax nycticorax,Endangered,22.8-26.0 in,25.6-25.8 oz,45.3-46.5 in,Marshes,Fish and small land animals,3-5 eggs,Stalking in water
Double-crested Cormorant,Phalacrocorax auritus,Vulnerable,27.6-35.4 in,42.3-88.2 oz,44.9-48.4 in,Lakes and ponds,Fish,1-7 eggs,Flying and diving into water
Dunlin,Calidris alpina,Migratory,6.3-8.7 in,1.7-2.7 oz,14.2-15.0 in,Shorelines and shallow marshes,Insects and marine invertebrates,3-4 eggs,Probing ground
Great Horned Owl,Bubo virginianus,Stable,18.1-24.8 in,32.1-88.2 oz,39.8-57.1 in,Forests,Small mammals and birds,1-4 eggs,Diving from perch (Nocturnal)
Indigo Bunting,Passerina cyanea,Endangered,4.7-5.1 in,0.4-0.6 oz,7.5-8.7 in,Open woodlands,"Seeds, berries, and insects",3-4 eggs,Foraging on branches
Northern Harrier,Circus cyaneus,Endangered,18.1-19.7 in,10.6-26.5 oz,40.2-46.5 in,Grasslands,Small mammals and birds,4-5 eggs,Soaring low over ground
Red-headed Woodpecker,Melanerpes erythrocephalus,Endangered,7.5-9.1 in,2.0-3.2 oz,16.5 in,Open woodlands,"Seeds, berries, and insects",3-10 eggs,Foraging and flycatching
Scarlet Tanager,Piranga olivacea,Endangered,6.3-6.7 in,0.8-1.3 oz,9.8-11.4 in,Forests,"Buds, berries, and insects",3-5 eggs,Foraging on branches
Snowy Owl,Bubo scandiacus,Vulnerable,20.5-27.9 in,56.4-104.1 oz,49.6-57.1 in,"Wide-open, treeless spaces",Small mammals and birds,3-11 eggs,Diving from perch
Worm-eating Warbler,Helmitheros vermivorum,Endangered,4.4-5.2 in,0.4-0.5 oz,7.9-8.7 in,Forests,Insects and buds,4-6 eggs,Foraging on branches
